row_index,key,token_count
1194,YARN-1589,64
1195,YARN-1585,25
1196,YARN-1584,48
1197,YARN-1582,87
1198,YARN-1564,27
1199,YARN-1558,50
1200,YARN-1543,68
1201,YARN-1538,19
1202,YARN-1530,46
1203,YARN-1512,15
1204,YARN-1510,26
1205,YARN-1509,25
1206,YARN-1503,63
1207,YARN-1498,25
1208,YARN-1495,123
1209,YARN-1493,35
1210,YARN-1492,68
1211,YARN-1490,19
1212,YARN-1489,39
1213,YARN-1488,23
1214,YARN-1462,13
1215,YARN-1461,8
1216,YARN-1436,45
1217,YARN-1448,23
1218,YARN-1440,83
1219,YARN-1421,103
1220,YARN-1404,288
1221,YARN-1394,47
1222,YARN-1392,24
1223,YARN-1390,44
1224,YARN-1389,34
1225,YARN-1380,38
1226,YARN-1378,24
1227,YARN-1372,92
1228,YARN-1371,41
1229,YARN-1370,41
1230,YARN-1369,41
1231,YARN-1368,30
1232,YARN-1367,45
1233,YARN-1366,55
1234,YARN-1362,32
1235,YARN-1360,59
1236,YARN-1355,13
1237,YARN-1354,15
1238,YARN-1338,39
1239,YARN-1337,40
1240,YARN-1336,12
1241,YARN-1324,121
1242,YARN-1318,25
1243,YARN-1317,33
